date,cpi,wpi,month,year,quarter,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,cpi_pct_change,cpi_diff,wpi_pct_change,wpi_lag1,trend_index,cpi_wpi_diff
2017-12-01,137.2,115.7,12,2017,4,137.6,136.1,135.2,132.0,130.4,136.96666666666667,0.7767453465155727,135.95,1.2833549781734765,-0.29069767441860517,-0.4000000000000057,-0.6013745704467333,116.4,68,21.499999999999986
2018-01-01,136.9,116.0,1,2018,1,137.2,137.6,136.1,134.2,130.3,137.23333333333332,0.35118845842881663,136.4,0.9859006035106708,-0.21865889212826506,-0.29999999999998295,0.2592912705272177,115.7,69,20.900000000000006
2018-02-01,136.4,116.1,2,2018,1,136.9,137.2,137.6,135.4,130.6,136.83333333333334,0.4041451884330575,136.5666666666667,0.859457193040697,-0.36523009495982306,-0.5,0.08620689655172153,116.0,70,20.30000000000001
2018-03-01,136.5,116.3,3,2018,1,136.4,136.9,137.2,135.2,130.8,136.6,0.26457513110693626,136.78333333333333,0.5564770136038153,0.07331378299120228,0.09999999999999432,0.17226528854437095,116.1,71,20.200000000000003
2018-04-01,137.1,117.3,4,2018,2,136.5,136.4,136.9,136.1,131.1,136.66666666666666,0.37859388972034824,136.95,0.4505552130458327,0.439560439560438,0.5999999999999943,0.8598452278589797,116.3,72,19.799999999999997
2018-05-01,137.8,118.3,5,2018,2,137.1,136.5,136.4,137.6,131.4,137.13333333333335,0.6506407098649825,136.98333333333332,0.5115336417768183,0.510576221735981,0.700000000000017,0.8525149190110826,117.3,73,19.500000000000014
2018-06-01,138.5,119.1,6,2018,2,137.8,137.1,136.5,137.2,132.0,137.79999999999998,0.7000000000002108,137.20000000000002,0.8099382692544076,0.5079825834542806,0.6999999999999886,0.6762468300929747,118.3,74,19.400000000000006
2018-07-01,139.8,119.9,7,2018,3,138.5,137.8,137.1,136.9,134.2,138.70000000000002,1.0148891565093916,137.68333333333334,1.3075422236660639,0.9386281588447787,1.3000000000000114,0.6717044500419878,119.1,75,19.900000000000006
2018-08-01,140.4,120.1,8,2018,3,139.8,138.5,137.8,136.4,135.4,139.5666666666667,0.9712534856224333,138.35000000000002,1.5241391012643994,0.42918454935620964,0.5999999999999943,0.16680567139282232,119.9,76,20.30000000000001
2018-09-01,140.2,120.9,9,2018,3,140.4,139.8,138.5,136.5,135.2,140.13333333333333,0.3055050463310417,138.96666666666667,1.3662601021290994,-0.14245014245015675,-0.20000000000001705,0.6661115736886103,120.1,77,19.299999999999983
2018-10-01,140.7,122.0,10,2018,4,140.2,140.4,139.8,137.1,136.1,140.4333333333333,0.25166114784317584,139.5666666666667,1.1570076346636329,0.3566333808844524,0.5,0.9098428453267138,120.9,78,18.69999999999999
2018-11-01,140.8,121.6,11,2018,4,140.7,140.2,140.4,137.8,137.6,140.5666666666667,0.32145502536709536,140.06666666666666,0.8477420991492928,0.0710732054015839,0.10000000000002274,-0.3278688524590234,122.0,79,19.200000000000017
2018-12-01,140.1,119.7,12,2018,4,140.8,140.7,140.2,138.5,137.2,140.53333333333333,0.378593889720575,140.33333333333334,0.3777124126502983,-0.49715909090910504,-0.700000000000017,-1.562499999999989,121.6,80,20.39999999999999
2019-01-01,139.6,119.2,1,2019,1,140.1,140.8,140.7,139.8,136.9,140.16666666666666,0.6027713773344971,140.29999999999998,0.43817804600805743,-0.35688793718772205,-0.5,-0.41771094402673903,119.7,81,20.39999999999999
2019-02-01,139.9,119.5,2,2019,1,139.6,140.1,140.8,140.4,136.4,139.86666666666667,0.2516611478430521,140.21666666666667,0.4622409184290014,0.21489971346706493,0.30000000000001137,0.251677852348986,119.2,82,20.400000000000006
2019-03-01,140.4,119.9,3,2019,1,139.9,139.6,140.1,140.2,136.5,139.96666666666667,0.4041451884331829,140.25,0.46797435827556366,0.3573981415296634,0.5,0.33472803347280866,119.5,83,20.5
2019-04-01,141.2,121.1,4,2019,2,140.4,139.9,139.6,140.7,137.1,140.5,0.6557438524304909,140.33333333333334,0.5921711464349635,0.5698005698005604,0.799999999999983,1.0008340283569561,119.9,84,20.099999999999994
2019-05-01,142.0,121.6,5,2019,2,141.2,140.4,139.9,140.8,137.8,141.20000000000002,0.8000000000002839,140.53333333333333,0.9025888691259778,0.56657223796035,0.8000000000000114,0.41288191577208977,121.1,85,20.400000000000006
2019-06-01,142.9,121.5,6,2019,2,142.0,141.2,140.4,140.1,138.5,142.03333333333333,0.8504900548118686,141.0,1.2790621564269173,0.6338028169014187,0.9000000000000057,-0.08223684210525439,121.6,86,21.400000000000006
2019-07-01,144.2,121.3,7,2019,3,142.9,142.0,141.2,139.6,139.8,143.03333333333333,1.1060440015360837,141.76666666666668,1.608311744243064,0.9097270818754222,1.299999999999983,-0.16460905349794386,121.5,87,22.89999999999999
2019-08-01,145.0,121.5,8,2019,3,144.2,142.9,142.0,139.9,140.4,144.03333333333333,1.0598742063726445,142.61666666666665,1.7645584905777991,0.554785020804438,0.8000000000000114,0.16488046166529546,121.3,88,23.5
2019-09-01,145.8,121.3,9,2019,3,145.0,144.2,142.9,140.4,140.2,145.0,0.8000000000005032,143.51666666666668,1.784843597257267,0.5517241379310533,0.8000000000000114,-0.16460905349794386,121.5,89,24.500000000000014
2019-10-01,147.2,122.0,10,2019,4,145.8,145.0,144.2,141.2,140.7,146.0,1.1135528725663826,144.51666666666668,1.9041183436620384,0.9602194787379892,1.3999999999999773,0.577081615828523,121.3,90,25.19999999999999
2019-11-01,148.6,122.3,11,2019,4,147.2,145.8,145.0,142.0,140.8,147.20000000000002,1.400000000000344,145.61666666666665,2.0595306908784585,0.9510869565217517,1.4000000000000057,0.24590163934425924,122.0,91,26.299999999999997
2019-12-01,150.4,123.0,12,2019,4,148.6,147.2,145.8,142.9,140.1,148.73333333333332,1.6041612554025062,146.86666666666665,2.3380903889008198,1.211305518169592,1.8000000000000114,0.5723630417007408,122.3,92,27.400000000000006
2020-01-01,150.2,123.4,1,2020,1,150.4,148.6,147.2,144.2,139.6,149.73333333333332,0.9865765724639094,147.86666666666667,2.2509257354853824,-0.13297872340426453,-0.20000000000001705,0.3252032520325354,123.0,93,26.799999999999983
2020-02-01,149.1,122.2,2,2020,1,150.2,150.4,148.6,145.0,139.9,149.9,0.7000000000009494,148.54999999999998,1.7796066981228689,-0.7323568575232975,-1.0999999999999943,-0.972447325769854,123.4,94,26.89999999999999
2020-03-01,148.6,120.4,3,2020,1,149.1,150.2,150.4,145.8,140.4,149.29999999999998,0.8185352771880389,149.01666666666665,1.1805366011566465,-0.3353454057679395,-0.5,-1.4729950900163602,122.2,95,28.19999999999999
2020-04-01,151.4,119.2,4,2020,2,148.6,149.1,150.2,147.2,141.2,149.70000000000002,1.493318452307257,149.71666666666667,1.1321071798511353,1.8842530282638048,2.8000000000000114,-0.9966777408637939,120.4,96,32.2
2020-05-01,150.9,117.5,5,2020,2,151.4,148.6,149.1,148.6,142.0,150.29999999999998,1.493318452307257,150.1,1.0658330075597326,-0.33025099075296716,-0.5,-1.4261744966442946,119.2,97,33.400000000000006
2020-06-01,151.8,119.3,6,2020,2,150.9,151.4,148.6,150.4,142.9,151.36666666666667,0.4509249752837006,150.33333333333334,1.276975593608001,0.5964214711729587,0.9000000000000057,1.5319148936170146,117.5,98,32.500000000000014
2020-07-01,153.9,121.0,7,2020,3,151.8,150.9,151.4,150.2,144.2,152.20000000000002,1.5394804318344502,150.95000000000002,1.9274335267406408,1.383399209486158,2.0999999999999943,1.4249790444258226,119.3,99,32.900000000000006
2020-08-01,154.7,122.0,8,2020,3,153.9,151.8,150.9,149.1,145.0,153.46666666666667,1.4977761292443907,151.88333333333335,2.1903576572492742,0.5198180636777128,0.799999999999983,0.8264462809917328,121.0,100,32.69999999999999
2020-09-01,156.4,122.9,9,2020,3,154.7,153.9,151.8,148.6,145.8,155.0,1.276714533480673,153.18333333333334,2.1664871720530776,1.0989010989011172,1.700000000000017,0.7377049180327999,122.0,101,33.5
2020-10-01,158.4,123.6,10,2020,4,156.4,154.7,153.9,151.4,147.2,156.5,1.8520259177453655,154.35000000000002,2.804817284602315,1.278772378516635,2.0,0.5695687550854256,122.9,102,34.80000000000001
2020-11-01,158.9,125.1,11,2020,4,158.4,156.4,154.7,150.9,148.6,157.9,1.3228756555324066,155.68333333333334,2.7374562401380227,0.31565656565657463,0.5,1.2135922330097193,123.6,103,33.80000000000001
2020-12-01,157.3,125.4,12,2020,4,158.9,158.4,156.4,151.8,150.4,158.20000000000002,0.8185352771873944,156.6,1.9979989989997349,-1.0069225928256764,-1.5999999999999943,0.23980815347721673,125.1,104,31.900000000000006
2021-01-01,156.3,126.5,1,2021,1,157.3,158.9,158.4,153.9,150.2,157.50000000000003,1.3114877048605487,157.00000000000003,1.5362291495749991,-0.6357279084551859,-1.0,0.8771929824561431,125.4,105,29.80000000000001
2021-02-01,156.6,128.1,2,2021,1,156.3,157.3,158.9,154.7,149.1,156.73333333333335,0.5131601439452469,157.3166666666667,1.101665405951634,0.19193857965449368,0.29999999999998295,1.2648221343873445,126.5,106,28.5
2021-03-01,156.8,129.9,3,2021,1,156.6,156.3,157.3,156.4,148.6,156.5666666666667,0.251661147843554,157.38333333333335,1.0457851914569156,0.12771392081738497,0.20000000000001705,1.4051522248243575,128.1,107,26.900000000000006
2021-04-01,157.8,132.0,4,2021,2,156.8,156.6,156.3,158.4,151.4,157.0666666666667,0.6429100507332555,157.28333333333333,0.9537644712771479,0.6377551020408267,1.0,1.6166281755196188,129.9,108,25.80000000000001
2021-05-01,160.4,132.9,5,2021,2,157.8,156.8,156.6,158.9,150.9,158.33333333333334,1.8583146486355626,157.53333333333333,1.501554749807879,1.6476552598225558,2.5999999999999943,0.6818181818181834,132.0,109,27.5
2021-06-01,161.3,133.7,6,2021,2,160.4,157.8,156.8,157.3,151.8,159.83333333333334,1.8175074506953581,158.20000000000002,2.1326040420115526,0.5610972568578676,0.9000000000000057,0.6019563581640242,132.9,110,27.600000000000023
2021-07-01,162.5,135.0,7,2021,3,161.3,160.4,157.8,156.3,153.9,161.4,1.05356537528499,159.23333333333332,2.498532902859353,0.7439553626782391,1.1999999999999886,0.972326103216159,133.7,111,27.5
2021-08-01,162.9,136.2,8,2021,3,162.5,161.3,160.4,156.6,154.7,162.23333333333335,0.8326663997859561,160.28333333333333,2.4943268965135403,0.2461538461538515,0.4000000000000057,0.8888888888888724,135.0,112,26.700000000000017
2021-09-01,163.2,137.4,9,2021,3,162.9,162.5,161.3,156.8,156.4,162.86666666666667,0.3511884584269819,161.35,2.0324861623155748,0.18416206261508972,0.29999999999998295,0.8810572687224738,136.2,113,25.799999999999983
2021-10-01,165.5,140.7,10,2021,4,163.2,162.9,162.5,157.8,158.4,163.86666666666667,1.4224392195563422,162.63333333333333,1.7546129677712694,1.4093137254902022,2.3000000000000114,2.4017467248908186,137.4,114,24.80000000000001
2021-11-01,166.7,143.7,11,2021,4,165.5,163.2,162.9,160.4,158.9,165.13333333333333,1.7785762095934232,163.6833333333333,2.016349837372274,0.7250755287008914,1.1999999999999886,2.1321961620469176,140.7,115,23.0
2021-12-01,166.2,143.3,12,2021,4,166.7,165.5,163.2,161.3,157.3,166.13333333333333,0.6027713773325897,164.5,1.8428239199675687,-0.29994001199760145,-0.5,-0.27835768963115903,143.7,116,22.899999999999977
2022-01-01,165.7,143.8,1,2022,1,166.2,166.7,165.5,162.5,156.3,166.19999999999996,0.4999999999980849,165.03333333333333,1.594574133325691,-0.30084235860409203,-0.5,0.34891835310537633,143.3,117,21.899999999999977
2022-02-01,166.1,145.3,2,2022,1,165.7,166.2,166.7,162.9,156.6,166.0,0.26457513110293496,165.56666666666663,1.2323419438903562,0.24140012070006378,0.4000000000000057,1.0431154381084884,143.8,118,20.799999999999983
2022-03-01,167.7,148.9,3,2022,1,166.1,165.7,166.2,163.2,156.8,166.49999999999997,1.0583005244249069,166.31666666666666,0.7960318251625034,0.9632751354605729,1.5999999999999943,2.4776324845148023,145.3,119,18.799999999999983
2022-04-01,170.1,152.3,4,2022,2,167.7,166.1,165.7,165.5,157.8,167.96666666666667,2.0132891827383066,167.08333333333334,1.6302351568628486,1.4311270125223707,2.4000000000000057,2.2834116856951026,148.9,120,17.799999999999983
